"margin","tooth"
"seed","embryo"
"seed","endosperm"
"seed","testa"
"flower","perianth"
"spikelet","awn"
"root","cortex"
"root","lets"
"root","collar"
"inflorescence","spikelet"
"inflorescence","bract"
"inflorescence","peduncle"
"stem","node"
"stem","middle internode"
"perigynium","beak"
"perigynium","beak tip"
"perigynium","base"
"perigynium","body"
"perigynium","mouth"
"leaf","midvein"
"leaf","margin"
"leaf","vein"
"leaf","sheath"
"leaf","rachis"
"leaf","ligule"
"leaf","-base"
"leaf","scale"
"leaf","teeth"
"leaf","blade"
"stamen","anther"
"stamen","filament"
"perianth","pistil"
"perianth","perigynium"
"perianth","stamen"
"pistil","stigma"
"pistil","locule"
"pistil","style base"
"pistil","style"
"sheath","summits collar"
"sheath","apex"
"sheath","summit"
"sheath","-blade junction"
"sheath","front"
"sheath","blade"
"sheath","front apex"
"fruit","pericarp"
"scale","scale"
"scale","apex"
"scale","body"
"scale","tip"
"flower","perianth"
"basidia","sterigma"
"pileipellis","septum"
"pileipellis","terminal element"
"pileipellis","apex"
"flower","hypanthium"
"flower","sepal"
"sepal","apex"
"petal","apex"
"flower","petal"
"tornote","apex"
"sulcus","proximal end"
"tornote","acanthostrongyle reticulation"
"spore","appendix"
"spore","germ pore"
"protibia","spine"
"protibia","projected margin"
"spermatheca","appendix"
"head","dorsum"
"head","side"
"head","eye"
"head side","cross-mesh"
"pronotum","side"
"head","dorsum"
"flagellar segment","area"
"flagellar segment","band"
"frons","juxtantennal carina"
"frons","juxtantennal carina"
"interantennal area","juxtantennal carina"
"head dorsum","costa"
"head","ruga"
"pronotum","sulcus"
"alitrunk","side"
"alitrunk side","remainder"
"alitrunk","ruga"
"genal area","lower genal area"
"pileus","centre"
"pileus","scale"
"pileus","background"
"tail","band"
"valve face","valva face central area"
"head","cross-mesh"
"alitrunk","area"
"alitrunk","propodeal margin"
"pileus","marginal area"
"striation","band"
"stipe","base"
"annulus","band"
"stipe","surface"
"stipe","context"
"elytron","base"
"pronotum","base"
"fultoportula","pore"
"costa","base"
"fibril","belt"
"pileus","middle"
"pileus","marginal belt"
"pileus","fibril"
"pileus","disc"
"body","stalk"
"sternum","body of sternum"
"body","axis"
"body axis","line"
"choanosomal skeleton","surface of choanosomal skeleton"
"pinnule","margin"
"pinnule margin","cavity"
"pinnule","adaxial surface"
"pinnule adaxial surface","powder"
"frons","cavity"
"anterior clypeal margin","median impression"
"head","posterior margin"
"head posterior margin","median concavity"
"eye","outer margin of eye"
"head side","outline"
"apical cavity","surface"
"buccal cavity","part"
"buccal cavity","portion"
"female buccal cavity","portion"
"annulus","lower surface"
"hypha","pileipellis"
"hypha","septum"
"hyphal cell","extremity"
"hypha","l cell"
"hypha","element"
"hyphal cell","end"
"cell","posterior end"
"pharynx","anterior part of pharynx"
"posterior cephalic margin","centre"
"valve","median area"
"valve","center"
"valve center","pore"
"nucleus","anterior center"
"head","remainder of head"
"eye","-line"
"throat","centre of throat"
"indusia","centre"
"indusia","margin"
"valve","striation"
"valve","centre"
"costula","outermost component"
"pronotum","anterior part of pronotum"
"longitudinal sculpture","area of longitudinal sculpture"
"alitrunk dorsum","remainder"
"pronotum","longitudinal component"
"pronotum longitudinal component","extension of pronotum longitudinal component"
"petiole","posterodorsal angle of petiole"
"pronotal sculpture","longitudinal component"
"head","central strip of head"
"lateral epidermal chord","region of lateral epidermal chord"
"epidermal chord","lateral epidermal chord"
"epidermal chord","ventral edge"
"epidermal chord","dorsal edge"
"orthometaneme","dorsolateral orthometaneme"
"orthometaneme","ventrolateral orthometaneme"
"spindle","core of spindle"
"epidermal_cell","anterior component"
"epidermal_cell","process"
"nerve cell","posterior component"
"spore","distal pole"
"spore","apical pore"
"spore","drop"
"spore","content"
"stipe base","context"
"spore","apex"
"spore","droplet"
"spore","hilar appendage"
"basidioma","basidiome context"
"pileus","surface"
"pileus surface","scale"
"pileus surface","crack"
"pileus","subcuticular layer"
"pileus surface","periphery"
"valve","edge"
"valve face","areola"
"areola","mantle"
"mandible","edge"
"tooth","interspace"
"tooth","apex"
"pharyngeal collar","anterior edge"
"lamella","face"
"toe","distal element"
"basidia","sterigma"
"cheilocystidium","terminal element"
"anteterminal element","cheilocystidium anteterminal element"
"cheilocystidium","basal septum"
"seed","end"
"seed","marginal wing"
"seed","appendage"
"seed","embryo"
"tail","end"
"choanosomal skeleton","axial compression"
"choanosomal style","basal end"
"choanosomal style","distal end"
"rostrum","middle of rostrum"
"pedicel","segment"
"club","end"
"annulus","septum"
"hypha element","end"
"petiole","face"
"petiole","dorsal margin"
"seed","abaxial groove"
"valve face","fultoportula"
"valve face","rimoportula"
"valve","face"
"mantle","fultoportula"
"face","antennal socket"
"face","clypeus"
"bill","base of bill"
"annulus","groove"
"hair","carpet of hair"
"cyst","wall"
"cyst","layer"
"head","endocupola of head"
"seed","submarginal groove"
"stria","areola"
"perianth","tube of perianth"
"perianth","tepal"
"tepal","apex"
"flower","stamen"
"leaf","midvein"
"neck","side"
"seed","papilla"
"seed","line"
"areola","array"
"stria","margin"
"eye","inner margin"
"protibia","l apex"
"sinus","membrane"
"basal acroscopic lobe","pinna"
"scape","apex"
"ultimate segment","apex"
"ultimate segment apex","sorus"
"pinna","acroscopic side"
"frond","upper portion"
"frond upper portion","sorus"
"cephalic capsule","middle"
"metanotum","medial notch"
"scutum","crest of hair"
"hair","crest of hair"
"anterior clypeal margin","notch"
"clypeus","basal margin"
"seed","hilar notch"
"valve","central part"
"clypeal margin","median part"
"clypeus","lower lat-eral part"
"buccal cavity","transverse band"
"duct","posterior part"
"pharynx","pharyngeal region"
"Demanian system","uvette"
"Demanian system","terminal duct"
"Demanian system","pore"
"antapex","sulcus"
"epicone","sulcus"
"buccal cavity","posterior end"
"mesial portion","side"
"mandible","apical tooth"
"clypeus","lower margin"
"clypeus lower margin","projection"
"spiculum gastrale","projection"
"male median lobe","sclerite"
"pharynx","pharyngeal gland cell"
"T5","notch"
"T5","cleft"
"tooth","protuberance"
"head","lateral margin"
"pronotum","anterolateral corner"
"metanotum","posterior section"
"propodeum","dorsal face"
"plate","junction"
"propodeum","posterior face"
"spine","base of spine"
"plastid","ial complex"
"plastid","ial complex remnant"
"valve face areola","fascicle"
"head","dorsal surface"
"antenna","l scape"
"head","posterior corner"
"pileus","pileal surface"
"clypeus","anterior clypeal margin"
"pileus","margin"
"hind tibia","outer apex"
"clypeus","upper margin"
"epistomal suture","transverse section"
"clypeus","upper part"
"valve","side"
"spine","base"
"valve","mantle"
"valve mantle","spine base"
"areola","opening"
"marginal fultoportula","opening"
"mantle","junction"
"central area","side"
"pinnule","side"
"claw","underside"
"claw","tooth"
"genal area","lower side"
"genal area lower side","process"
"surface","outline"
"hypocone","side"
"hymenophoral tramum","mediostratum"
"pinna lobe","tip"
"flower","calyx"
"calyx","tube"
"calyx","lobe"
"clypeus","anterior border"
"clypeus anterior border","middle"
"clypeus","mesial portion"
"clypeus mesial portion","side"
"clypeus","posterior portion"
"clypeus","frontal area"
"wing","tip"
"wing","tip"
"head","frontal carina"
"clypeus","posteromedian portion"
"clypeus","lateral portion"
"buccal cavity","armature"
"buccal cavity","wall"
"spicule","wall"
"propodeum","basal zone"
"valve","central valve face"
"central valve face","undulation"
"pinnule","lower inside corner"
"fossa","process"
"fossa","genal area lower side"
"inflorescence","axis"
"inflorescence","hair"
"inflorescence","wing"
"inflorescence","branch point"
"inflorescence","appendage"
"inflorescence","nonflowering branch"
"inflorescence","spikelet"
"inflorescence","branch tip"
"branch","tip"
"inflorescence","branch tip spikelet"
"branch tip","spikelet"
"inflorescence","internode"
"inflorescence","subtending bract"
"inflorescence","subtending bract tip"
"subtending bract","tip"
"inflorescence","subtending bract margin"
"subtending bract","margin"
"inflorescence","subtending bract surface"
"subtending bract","surface"
"inflorescence","spikelet flower"
"spikelet","flower"
